,업종코드,기준년월,성별,연령대별,카드이용금액계,카드이용건수계,대분류,중분류,소분류
0,SS013,201906,F,50대,48288,65,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
1,SS013,201710,F,40대,2663385,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
2,SS013,202005,F,20대,960730,101,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
3,SS013,202012,M,40대,566831,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
4,SS013,201602,M,20대,422520,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
5,SS013,201808,M,20대,452700,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
6,SS013,202105,M,20대,268602,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
7,SS013,202001,F,60대,82995,15,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
8,SS013,201712,M,50대,150900,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
9,SS013,201611,M,40대,782417,15,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
10,SS013,202008,F,40대,459491,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
11,SS013,201701,F,40대,79172,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
12,SS013,201908,M,30대,50300,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
13,SS013,202104,M,20대,1156900,35,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
14,SS013,201603,M,40대,837495,5,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
15,SS013,202010,F,20대,965760,25,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
16,SS013,201810,M,20대,1674286,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
17,SS013,201602,F,20대,28671,75,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
18,SS013,202010,F,50대,1358100,25,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
19,SS013,202011,F,40대,6327740,10,유통,할인점/슈퍼마켓,할인점/슈퍼마켓
20,SS048,201608,M,30대,132792,10,가정생활/서비스,각종요금,통신
21,SS048,201911,M,40대,20120,15,가정생활/서비스,각종요금,통신
22,SS048,202104,M,20대,377753,45,가정생활/서비스,각종요금,통신
23,SS048,202003,F,40대,39234,20,가정생활/서비스,각종요금,통신
24,SS048,202104,M,70대이상,911939,20,가정생활/서비스,각종요금,통신
25,SS048,202012,F,60대,500485,10,가정생활/서비스,각종요금,통신
26,SS048,201607,M,30대,196170,96,가정생활/서비스,각종요금,통신
27,SS048,201709,M,50대,39234,191,가정생활/서비스,각종요금,통신
28,SS048,201708,F,20대,148938,25,가정생활/서비스,각종요금,통신
29,SS048,201611,F,30대,143355,20,가정생활/서비스,각종요금,통신
30,SS048,201612,M,60대,78569,45,가정생활/서비스,각종요금,통신
31,SS048,202008,M,50대,5295584,5,가정생활/서비스,각종요금,통신
32,SS048,201606,M,70대이상,477347,121,가정생활/서비스,각종요금,통신
33,SS048,201811,M,20대,237064,25,가정생활/서비스,각종요금,통신
34,SS048,202106,M,20대,378256,5,가정생활/서비스,각종요금,통신
35,SS048,202003,F,70대이상,96576,30,가정생활/서비스,각종요금,통신
36,SS048,202104,F,30대,20120,5,가정생활/서비스,각종요금,통신
37,SS048,201601,F,60대,140840,70,가정생활/서비스,각종요금,통신
38,SS016,202009,M,50대,100600,25,유통,편의점,편의점
39,SS016,201708,M,10대,998455,10,유통,편의점,편의점
40,SS016,201911,M,20대,13478242,5,유통,편의점,편의점
41,SS016,202106,M,30대,287716,10,유통,편의점,편의점
42,SS016,201812,F,30대,237416,15,유통,편의점,편의점
43,SS016,201910,F,70대이상,427550,35,유통,편의점,편의점
44,SS016,202010,F,50대,1095031,25,유통,편의점,편의점
45,SS016,202106,F,20대,342040,40,유통,편의점,편의점
46,SS016,202008,F,60대,452952,5,유통,편의점,편의점
47,SS016,201903,M,60대,3083390,5,유통,편의점,편의점
48,SS016,202006,M,50대,95067,10,유통,편의점,편의점
49,SS016,201907,F,60대,152409,10,유통,편의점,편의점
50,SS016,201804,F,20대,30180,15,유통,편의점,편의점
51,SS016,201705,M,40대,434894,5,유통,편의점,편의점
52,SS016,202102,F,40대,422520,20,유통,편의점,편의점
53,SS016,201705,F,30대,524378,70,유통,편의점,편의점
54,SS016,201702,M,70대이상,155930,45,유통,편의점,편의점
55,SS016,202012,M,30대,226350,5,유통,편의점,편의점
56,SS016,201909,M,50대,100600,10,유통,편의점,편의점
57,SS016,202107,F,40대,437610,65,유통,편의점,편의점
58,SS016,201611,M,40대,55330,5,유통,편의점,편의점
59,SS016,201804,M,40대,976424,10,유통,편의점,편의점
60,SS016,201605,F,20대,216290,30,유통,편의점,편의점
61,SS016,201902,F,50대,187418,10,유통,편의점,편의점
62,SS016,202011,M,60대,64384,55,유통,편의점,편의점
63,SS016,201610,M,20대,77965,5,유통,편의점,편의점
64,SS016,202005,F,20대,12072,5,유통,편의점,편의점
65,SS016,202002,F,60대,35210,5,유통,편의점,편의점
66,SS016,201602,M,20대,75450,5,유통,편의점,편의점
67,SS016,201812,M,40대,1569360,5,유통,편의점,편의점
68,SS016,201803,M,50대,181080,297,유통,편의점,편의점
69,SS001,201805,F,30대,213876,40,요식/유흥,한식,한식
70,SS001,201601,F,30대,268099,30,요식/유흥,한식,한식
71,SS001,201803,M,40대,150900,70,요식/유흥,한식,한식
72,SS001,201605,F,30대,104624,60,요식/유흥,한식,한식
73,SS001,201811,F,30대,701685,5,요식/유흥,한식,한식
74,SS001,202011,M,70대이상,65390,5,요식/유흥,한식,한식
75,SS001,201902,F,60대,1958682,5,요식/유흥,한식,한식
76,SS001,201805,F,30대,945640,15,요식/유흥,한식,한식
77,SS001,201807,M,20대,47785,231,요식/유흥,한식,한식
78,SS001,201701,F,60대,318902,10,요식/유흥,한식,한식
79,SS001,201709,M,30대,205224,10,요식/유흥,한식,한식
80,SS001,201607,F,40대,967219,5,요식/유흥,한식,한식
81,SS001,201709,F,20대,161966,15,요식/유흥,한식,한식
82,SS001,201901,M,30대,1301764,15,요식/유흥,한식,한식
83,SS001,201904,F,60대,5533,5,요식/유흥,한식,한식
