name,category,benefits
신한카드 The Classic+,"['바우처', '항공', '주유소', '커피전문점', '프리미엄', '쇼핑']","['쇼핑, 요식, 호텔 등 기프트옵션! ', '대한항공, 아시아나항공 마일리지 적립', 'GS칼텍스 리터당 40원 할인', '스타벅스 3,000원 할인!', '공항 라운지 무료 이용 서비스!', '제주JDC 면세점 8% 결제일 할인']"
NH농협 LCC UniMile 카드,"['포인트/캐시백', '통신', '교통', '프리미엄']","['저비용항공사 LCC UniMile적립국내외가맹점 이용시 UniMile적립', '생활 할인 서비스이동통신 자동이체 요금 3% 청구할인', '생활 할인 서비스택시요금 3% 청구할인', '국내외 공항라운지 서비스UnionPay 위탁수하물 서비스']"
LOCA Professional,"['포인트/캐시백', '납부 혜택', '바우처', '프리미엄']","['국내 모든 가맹점에서 1% 캐시백즉시·자동결제 시 추가 1% 캐시백', '이용금액에 따라 최대 10개월 나누기추가 수수료 없는 납부 혜택!', '롯데상품권카드 5만원 증정', 'Mastercard World']"
알뜰교통 신한카드,"['연회비지원', '교통', '할인점/슈퍼마켓', '커피전문점', '편의점', '자동차서비스', '종합병원/일반병원/치과병원/한의원/약국/기타의료']","['신규 고객 연회비 100% 캐시백!신규 회원이면 누구나 참여 가능!', '버스/지하철 이용액 결제일 10%할인택시 이용액 결제일 10%할인', '3대 할인점/슈퍼마켓 주말 이용액 10%할인', '스타벅스/커피빈 등 결제일 10%할인', '편의점 이용액 결제일 10%할인', '전기차 자동차 보험 가입 3만원 할인전기차 충전요금 최대 50% 할인전기차 하이패스 요금 10% 캐시백', '병원/약국 이용액 결제일 10% 할인']"
NH농협 올바른하나로(Hanaro) 카드,"['할인점/슈퍼마켓', '종합병원/일반병원/치과병원/한의원/약국/기타의료', '교통', '커피전문점', '편의점', '문화', '영화/공연', '레저', '프리미엄', '금융', '포인트/캐시백']","['농협판매장 이용시 5%NH포인트 적립', '전국 병의원 및 약국 최대 5% 할인', '교통 3% NH포인트적립', '베이커리/커피 3% NH포인트 적립', '편의점 3% NH포인트 적립', '온라인서점 3% NH포인트 적립', '영화/공연 예매 3% NH포인트 적립', '전국 주요 놀이공원 할인 ', '국제공항 라운지 무료이용', '전자금융 수수료 면제', 'OK Cashbag 제휴서비스']"
KB국민 그린카드(서울형),"['포인트/캐시백', '언제나할인', '교통', '쇼핑', '할인점/슈퍼마켓', '그린카드']","['에코머니 가맹점 최대 5% 적립지자체 문화, 레저 시설 무료입장탄소포인트제 및 에코마일리지제도친환경제품 구매를 통한 녹색소비', '국내외가맹점 적립한도없이 0.5%적립', '교통 이용 시 최대 20% 적립철도 업종 이용 시 최대 10% 적립', '에코마일리지제도 에너지절감 프로그램', '할인점/슈퍼마켓 이용 시 최대 3% 적립', '에코마일리지제도 에너지 절감 프로그램']"
LOCA Mobility 반띵 카드,"['연회비지원', '화장품', '쇼핑', '문화', '커피전문점', '교통']","['신규회원 연회비 100% 캐시백롯데카드 온라인 신청 특별 혜택', 'LOCA로 미용실도 반띵!미용실 가맹점 50% 결제일 할인', 'LOCA로 온라인쇼핑도 반띵!쿠팡 위메프 등 50% 결제일 할인LOCA로 멤버십도 반띵!쇼핑 멤버십 50% 결제일 할인', 'LOCA로 스트리밍도 반띵!넷플릭스,유튜브 등 50% 결제일할인', 'LOCA로 커피도 반띵!스타벅스 50% 결제일 할인', 'LOCA로 교통 반띵!버스, 지하철 50% 결제일 할인']"
KB국민 그린카드(전국형),"['포인트/캐시백', '언제나할인', '교통', '쇼핑', '할인점/슈퍼마켓', '그린카드']","['에코머니 가맹점 최대 5% 적립지자체 문화, 레저 시설 무료입장탄소포인트제 및 에코마일리지제도친환경제품 구매를 통한 녹색소비', '국내외가맹점 적립한도없이 0.5%적립', '교통 이용 시 최대 20% 적립철도 업종 이용 시 최대 10% 적립', '에코마일리지제도 에너지절감 프로그램', '할인점/슈퍼마켓 이용 시 최대 3% 적립', '탄소포인트제 에너지 절감 프로그램']"
기업은행 용인시민카드,"['레저', '할인점/슈퍼마켓', '주유소', '한식/일식/중식/양식', '커피전문점', '쇼핑', '영화/공연', '교통']","['에버랜드, 캐리비안베이, 한국민속촌용인 주요 놀이공원 50~60% 할인', '이마트, 홈플러스, 롯데마트, 농협주요 할인점/슈퍼마켓 5% 할인', '휘발유, 등유, 경유, LPG 포함전 주유소소 리터당 60원 할인', '주요 패밀리 레스토랑 20% 할인!불고기브라더스 20% 현장 할인!', '스타벅스, 커피빈, 카페베네 등주요 커피전문점 20%할인', '쿠팡, 티몬, 위메프 등온라인 쇼핑 20% 할인', 'CGV, 롯데시네마현장/온라인 영화/공연 예매 4천원 할인!', '용인시 경전철 포함!버스, 지하철 3% 할인']"
NU I&U,"['언제나할인', '주유소', '교통', '커피전문점']","['Simple 할인국내가맹점 0.7%~1% 청구할인Two-in-One 결제서비스할인서비스 유의사항실적 산정 방법 안내', 'Daily 할인주유소소 리터당 60~100원 청구할인', 'Daily 할인교통 10% 청구할인', 'Daily 할인스타벅스, 폴바셋 10% 청구할인']"
