날짜,금액,소분류,업종코드,대분류,중분류
2024.1.9,-1340,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.9,-9620,기타요식,ss008,요식/유흥,기타요식
2024.1.8,-32800,교통,ss040,여행/교통,교통
2024.1.8,-32500,교통,ss040,여행/교통,교통
2024.1.8,-8800,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.8,-8300,편의점,ss016,유통,편의점
2024.1.7,-3730,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.7,-3550,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.7,-10160,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.5,-2200,편의점,ss016,유통,편의점
2024.1.5,-20700,한식,ss001,요식/유흥,한식
2024.1.5,-7100,할인점/슈퍼마켓,ss013,유통,할인점/슈퍼마켓
2024.1.5,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2024.1.5,-3030,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.4,-1600,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2024.1.4,-67900,한식,ss001,요식/유흥,한식
2024.1.4,-4500,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2024.1.4,-3030,결제대행(PG),ss069,전자상거래,전자상거래
2024.1.3,-2500,편의점,ss016,유통,편의점
2024.1.3,-8500,한식,ss001,요식/유흥,한식
2024.1.2,-3800,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2024.1.2,-5200,일반병원,ss055,의료,병원
2024.1.2,-27300,치과병원,ss056,의료,병원
2023.12.31,-18000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.31,-3700,편의점,ss016,유통,편의점
2023.12.31,-10600,교통,ss040,여행/교통,교통
2023.12.30,-15900,교통,ss040,여행/교통,교통
2023.12.30,-3000,편의점,ss016,유통,편의점
2023.12.30,-7000,유흥주점,ss011,요식/유흥,유흥
2023.12.29,-7000,유흥주점,ss011,요식/유흥,유흥
2023.12.29,14000,유흥주점,ss011,요식/유흥,유흥
2023.12.29,-14000,유흥주점,ss011,요식/유흥,유흥
2023.12.29,-2900,편의점,ss016,유통,편의점
2023.12.29,-10400,교통,ss040,여행/교통,교통
2023.12.29,-11100,교통,ss040,여행/교통,교통
2023.12.29,-4800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.29,-12000,한식,ss001,요식/유흥,한식
2023.12.28,-3500,한식,ss001,요식/유흥,한식
2023.12.28,-1000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.28,-2970,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.28,-2200,패스트푸드,ss007,요식/유흥,제과/커피/패스트푸드
2023.12.27,-9000,한식,ss001,요식/유흥,한식
2023.12.26,-33000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.25,-5800,편의점,ss016,유통,편의점
2023.12.24,-1400,교통,ss040,여행/교통,교통
2023.12.24,-1500,교통,ss040,여행/교통,교통
2023.12.23,-1400,교통,ss040,여행/교통,교통
2023.12.23,-9290,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.23,-1800,종합레저시설,ss027,스포츠/문화/레저,스포츠/문화/레저
2023.12.23,-3000,종합레저시설,ss027,스포츠/문화/레저,스포츠/문화/레저
2023.12.22,-2000,종합레저시설,ss027,스포츠/문화/레저,스포츠/문화/레저
2023.12.22,-1300,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.21,-12000,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.21,-3000,노래방,ss009,요식/유흥,유흥
2023.12.21,-3000,생활잡화,ss015,유통,할인점/슈퍼마켓
2023.12.20,-59000,한식,ss001,요식/유흥,한식
2023.12.20,-5000,한식,ss001,요식/유흥,한식
2023.12.19,-9000,한식,ss001,요식/유흥,한식
2023.12.19,-3100,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.18,-2700,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.18,-8700,편의점,ss016,유통,편의점
2023.12.17,-900,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.16,-45000,한식,ss001,요식/유흥,한식
2023.12.16,-27000,종합레저시설,ss027,스포츠/문화/레저,스포츠/문화/레저
2023.12.15,-14000,의복/의류,ss021,의류/잡화,의복/의류
2023.12.15,-20000,한식,ss001,요식/유흥,한식
2023.12.14,-26000,한식,ss001,요식/유흥,한식
2023.12.14,-39000,한식,ss001,요식/유흥,한식
2023.12.14,-5660,제과점,ss005,요식/유흥,제과/커피/패스트푸드
2023.12.14,-7600,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.14,-9080,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.14,-1500,교통,ss040,여행/교통,교통
2023.12.13,-10000,한식,ss001,요식/유흥,한식
2023.12.13,-1080,편의점,ss016,유통,편의점
2023.12.13,-1800,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.13,-1500,교통,ss040,여행/교통,교통
2023.12.13,-1200,교통,ss040,여행/교통,교통
2023.12.12,-9100,편의점,ss016,유통,편의점
2023.12.12,-700,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.12,-3350,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.11,-2060,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.11,-1350,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.10,-1,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.9,-8690,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.9,-4700,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.9,-9400,결제대행(PG),ss069,전자상거래,전자상거래
2023.12.8,-36650,커피전문점,ss006,요식/유흥,제과/커피/패스트푸드
2023.12.8,-10000,한식,ss001,요식/유흥,한식
